label,message,cleaned_text,processed_text,message_length,word_count,char_count,avg_word_length,special_char_count,digit_count,uppercase_count,uppercase_ratio,digit_ratio,special_char_ratio,has_url,has_email,has_phone,has_currency,urgency_count,financial_count,action_count,threat_count,excessive_caps,excessive_punctuation,label_encoded
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,jurong point crazi avail bugi great world buffet cine got amor wat,111,20,111,4.6,9,0,3,0.02702702702702703,0.0,0.08108108108108109,0,0,0,0,0,0,0,0,0,0,0
ham,Ok lar... Joking wif u oni...,ok lar joking wif u oni,lar joke wif oni,29,6,29,4.0,6,0,2,0.06896551724137931,0.0,0.20689655172413793,0,0,0,0,0,0,0,0,0,1,0
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry in NUMBER a wkly comp to win fa cup final tkts NUMBER st may NUMBER text fa to NUMBER to receive entry questionstd txt ratetcs apply PHONE over NUMBER s,free entri number wkli comp win cup final tkt number may number text number receiv entri questionstd txt ratetc appli phone number,155,28,155,4.571428571428571,6,25,10,0.06451612903225806,0.16129032258064516,0.03870967741935484,0,0,1,0,0,0,0,0,0,0,1
ham,U dun say so early hor... U c already then say...,u dun say so early hor u c already then say,dun say earli hor alreadi say,49,11,49,3.5454545454545454,6,0,2,0.04081632653061224,0.0,0.12244897959183673,0,0,0,0,0,0,0,0,0,0,0
ham,"Nah I don't think he goes to usf, he lives around here though",nah i dont think he goes to usf he lives around here though,nah dont think goe usf live around though,61,13,61,3.769230769230769,2,0,2,0.03278688524590164,0.0,0.03278688524590164,0,0,0,0,0,0,0,0,0,0,0
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",freemsg hey there darling its been NUMBER weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send £ NUMBER NUMBER to rcv,freemsg hey darl number week word back like fun still xxx std chg send number number rcv,147,32,147,3.625,8,4,7,0.047619047619047616,0.027210884353741496,0.05442176870748299,0,0,0,1,1,0,0,0,0,0,1
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even my brother is not like to speak with me they treat me like aids patent,even brother like speak treat like aid patent,77,16,77,3.875,2,0,2,0.025974025974025976,0.0,0.025974025974025976,0,0,0,0,0,0,0,0,0,0,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press NUMBER to copy your friends callertune,per request mell mell oru minnaminungint nurungu vettam set callertun caller press number copi friend callertun,160,26,160,5.1923076923076925,6,1,10,0.0625,0.00625,0.0375,0,0,0,0,0,0,1,0,0,0,0
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner as a valued network customer you have been selected to receivea £ NUMBER prize reward to claim call PHONE claim code kl NUMBER valid NUMBER hours only,winner valu network custom select receivea number prize reward claim call phone claim code number valid number hour,157,26,157,5.076923076923077,6,19,12,0.07643312101910828,0.12101910828025478,0.03821656050955414,0,0,1,1,0,2,2,0,0,0,1
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,had your mobile NUMBER months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on PHONE,mobil number month entitl updat latest colour mobil camera free call mobil updat free phone,154,29,154,4.344827586206897,2,13,14,0.09090909090909091,0.08441558441558442,0.012987012987012988,0,0,1,0,0,0,2,0,0,0,1
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,gon home soon dont want talk stuff anymor tonight ive cri enough today,109,21,109,4.238095238095238,6,0,2,0.01834862385321101,0.0,0.05504587155963303,0,0,0,0,1,0,0,0,0,0,0
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances to win cash from NUMBER to NUMBER NUMBER pounds txt csh NUMBER and send to NUMBER cost NUMBER pday NUMBER days NUMBER tsandcs apply reply hl NUMBER info,six chanc win cash number number number pound txt csh number send number cost number pday number day number tsandc appli repli number info,136,26,136,4.269230769230769,8,22,17,0.125,0.16176470588235295,0.058823529411764705,0,0,0,1,0,1,1,0,0,0,1
